,Dataset,Split,Size
0,health-es-en,train,575482
1,health-es-en,val,5000
2,health-es-en,test,4961
3,health-pt-en,train,502987
4,health-pt-en,val,5000
5,health-pt-en,test,3738
6,biological-es-en,train,119890
7,biological-es-en,val,3707
8,biological-es-en,test,3982
9,biological-pt-en,train,116692
10,biological-pt-en,val,3609
11,biological-pt-en,test,3871
12,merged-es-en,train,699079
13,merged-es-en,val,5000
14,merged-es-en,test,8943
15,merged-pt-en,train,623288
16,merged-pt-en,val,5000
17,merged-pt-en,test,7609
